1000 8000
1 560 335
1 716 500
1 231 112
1 790 564
1 64 932
1 821 918
1 305 927
1 866 544
1 447 823
1 931 953
1 229 453
1 341 632
2 758 751
2 188 726
2 615 860
2 874 993
2 270 732
2 537 479
2 486 382
2 967 862
2 436 559
2 250 859
2 679 50
2 962 786
2 44 176
2 276 999
2 452 736
2 685 212
2 398 856
2 217 912
3 919 505
3 23 208
3 836 157
3 570 748
3 960 605
3 197 306
3 399 158
3 838 894
3 76 358
3 634 243
3 16 964
3 563 159
3 556 847
3 291 757
3 452 665
3 687 627
3 387 284
3 351 385
3 984 780
3 915 822
4 974 170
4 948 978
4 715 267
4 263 499
4 420 350
4 703 704
4 361 762
4 10 660
4 568 250
4 414 657
5 560 503
5 272 223
5 962 155
5 790 270
5 481 805
5 220 754
5 269 365
5 701 15
5 941 342
5 272 566
5 656 462
5 387 522
5 578 873
5 441 483
5 33 318
5 579 289
5 340 628
5 869 245
6 969 214
6 36 448
6 401 205
6 209 115
6 389 169
6 349 697
6 666 141
6 794 110
6 359 249
6 247 640
6 747 706
6 236 248
7 930 957
7 843 347
7 363 189
7 581 558
7 448 774
7 775 693
7 192 864
7 337 368
7 716 168
7 936 198
7 802 35
7 330 760
8 577 101
8 843 22
8 940 603
8 496 372
8 939 429
8 76 918
8 361 423
8 958 994
8 119 904
8 879 100
8 998 556
8 840 198
8 820 341
8 127 489
8 861 282
8 610 730
8 212 901
8 423 696
8 177 134
8 543 389
8 821 619
8 531 376
9 274 386
9 268 758
9 816 774
9 32 517
9 145 711
9 598 49
9 149 922
9 907 915
9 374 990
9 628 223
9 130 25
9 367 876
9 626 241
9 354 943
9 238 753
9 819 234
9 822 931
9 987 351
9 160 738
9 970 341
9 307 50
9 956 223
9 566 461
9 955 752
9 363 457
9 921 509
10 659 819
10 796 460
10 81 347
10 451 924
10 263 561
10 849 991
10 834 873
10 416 312
10 743 548
10 292 202
10 982 84
10 838 227
10 658 923
11 221 44
11 552 314
11 710 749
11 355 270
11 84 502
11 994 256
11 837 472
11 817 752
11 949 249
11 152 574
11 587 371
11 57 857
11 812 321
11 898 640
11 185 184
11 22 156
11 690 519
11 251 637
12 170 118
12 181 959
12 128 678
12 917 86
12 802 278
12 684 816
12 674 934
12 849 829
12 375 380
12 699 181
12 628 639
12 744 449
12 732 201
12 636 347
12 26 258
12 543 0
12 79 134
12 129 760
12 324 697
12 558 190
12 451 816
12 258 996
12 40 315
12 191 366
12 481 103
12 133 856
13 524 842
13 807 439
13 117 764
13 254 618
13 937 304
13 784 375
13 257 5
13 656 737
13 63 3
13 806 611
14 208 465
14 51 572
14 915 570
14 137 192
14 376 833
14 311 141
14 625 279
14 542 40
14 360 132
14 871 535
14 258 360
14 349 191
14 430 711
14 612 706
14 746 94
14 446 175
14 427 867
14 182 688
14 499 935
14 753 231
15 183 264
15 890 223
15 250 762
15 833 240
15 336 271
15 231 787
15 294 60
15 946 432
15 210 103
15 376 972
16 231 890
16 466 311
16 466 682
16 567 263
16 118 542
16 129 392
16 203 207
16 831 224
16 158 172
16 299 459
16 443 577
16 489 133
16 997 541
17 976 446
17 809 602
17 852 86
17 301 827
17 545 259
17 815 760
17 79 323
17 580 487
18 755 970
18 843 138
18 956 702
18 895 766
18 32 76
18 461 342
18 232 768
18 370 469
18 954 713
18 289 963
18 150 776
18 464 664
18 128 955
18 188 430
18 24 918
18 838 50
18 132 472
18 256 913
19 111 982
19 263 158
20 394 423
20 661 474
20 872 132
20 718 638
20 979 579
20 122 841
20 943 684
20 873 823
20 714 944
20 940 187
21 78 147
21 516 458
21 389 226
21 210 370
21 297 61
21 492 513
21 748 454
21 317 819
21 575 307
21 257 449
21 968 311
21 750 30
21 647 90
21 484 105
21 744 141
21 105 767
21 259 916
21 628 617
22 118 472
22 358 536
22 698 368
22 462 819
22 296 414
22 902 536
22 875 882
